,date,city_ibge_code,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,growth_rate_NORM_(14),growth_accel_NORM_(14),growth_accel_rate_NORM_(14),growth_rate_NORM_(%),growth_accel_NORM_(%),growth_accel_rate_NORM_(%),LENTO,EXPONENCIAL,DESACELERACAO,ESTAVEL,LINEAR,CLASSIFICACAO
0,2020-08-03,35,32,45919049.0,True,False,560218,1220.0122,2020-08-03,0.0417,23365,161,state,SP,1533,48,0.07847060064000215,0.0007663169240215117,-5.669137143932175e-05,1.285806396865652,0.01255674347968445,-0.0009289355178786181,0,1,0,0,0,EXPONENCIAL
1,2020-08-03,32,32,4018650.0,True,False,85215,2120.4882199999997,2020-08-03,0.0305,2600,152,state,ES,960,22,0.07023277684320205,-0.000103751843882706,-3.991968681094922e-05,1.1707465335703509,-0.001729493222920564,-0.0006654419354580382,0,0,0,0,1,LINEAR
2,2020-08-03,33,32,17264943.0,True,False,168064,973.4408,2020-08-03,0.0809,13604,152,state,RJ,839,32,0.06916295632427975,-0.00021560311295065648,-7.170317585849083e-05,0.9778760438478894,-0.0030483531985671403,-0.0010137915101702483,0,0,0,1,0,ESTAVEL
3,2020-08-03,29,32,14873064.0,True,False,171391,1152.3583800000001,2020-08-03,0.0211,3624,151,state,BA,915,52,0.0759320613253443,0.0005903234876072756,-8.40216251864039e-05,1.427006428090503,0.01109406746985302,-0.0015790352210495007,0,1,0,0,0,EXPONENCIAL
4,2020-08-03,53,32,3015268.0,True,False,112044,3715.8886,2020-08-03,0.0138,1546,150,state,DF,2016,23,0.07684702129926267,0.0007313559733546857,-1.5874036730989026e-05,1.418262036924907,0.013497652803585853,-0.0002929657296753192,0,1,0,0,0,EXPONENCIAL
5,2020-08-03,27,32,3337357.0,True,False,62778,1881.0693600000002,2020-08-03,0.0256,1607,149,state,AL,538,13,0.07631936176612993,0.0005075362580882544,1.8883604679963126e-05,1.1981768339223855,0.00796807222629158,0.00029646340253491736,0,0,0,0,1,LINEAR
6,2020-08-03,31,32,21168791.0,True,False,133743,631.79328,2020-08-03,0.0216,2894,149,state,MG,942,3,0.07861872869361752,0.0009491582921991035,-5.8162983414171415e-05,1.5568747333486297,0.01879603737719922,-0.0011517927190935382,0,1,0,0,0,EXPONENCIAL
7,2020-08-03,43,32,11377239.0,True,False,71479,628.26315,2020-08-03,0.0282,2016,147,state,RS,439,42,0.08023993070531732,0.0011303042458065092,-6.9307297616435e-05,1.5156899102231545,0.021350850203784997,-0.0013091782455278526,0,1,0,0,0,EXPONENCIAL
8,2020-08-03,52,32,7018354.0,True,False,70252,1000.97544,2020-08-03,0.0244,1716,145,state,GO,76,15,0.08051712401923226,0.0010469568730842283,-0.00014860024647530138,1.6160068772927028,0.02101279110178914,-0.0029824589886508907,0,1,0,0,0,EXPONENCIAL
9,2020-08-03,25,32,4018127.0,True,False,84211,2095.7774600000002,2020-08-03,0.0222,1870,145,state,PB,203,20,0.07112375055767675,-4.64827092196317e-05,-7.628293694716048e-05,1.1922995343675185,-0.0007792237069073646,-0.0012787867553262664,0,0,0,0,1,LINEAR
10,2020-08-03,26,32,9557071.0,True,False,98401,1029.6146199999998,2020-08-03,0.0678,6669,145,state,PE,431,35,0.07684040085568383,0.0005916732447180346,-2.0856495428412974e-05,1.0765556541824672,0.008289508773203783,-0.00029220537412420224,0,0,0,0,1,LINEAR
11,2020-08-03,41,32,11433957.0,True,False,80865,707.23547,2020-08-03,0.0254,2050,145,state,PR,1260,45,0.07910720449842044,0.001099130107981957,-3.7727423399328896e-05,1.629401976803721,0.02263921196641512,-0.0007770864696376031,0,1,0,0,0,EXPONENCIAL
12,2020-08-03,24,32,3506853.0,False,True,52184,1488.05781,2020-08-02,0.0364,1900,145,state,RN,0,0,0.0678208441862396,-0.0004423360288004551,-7.229579830287615e-05,1.1495552923741212,-0.007497543403013023,-0.0012254052357010526,0,0,0,0,1,LINEAR
13,2020-08-03,42,32,7164788.0,True,False,88889,1240.63685,2020-08-03,0.0135,1196,145,state,SC,907,21,0.08612539224049105,0.0017475797824739157,-5.751735450423386e-05,1.6782277834865869,0.03405310406735454,-0.0011207754165242717,0,1,0,0,0,EXPONENCIAL
14,2020-08-03,13,32,4144597.0,True,False,102386,2470.34875,2020-08-03,0.0321,3288,144,state,AM,262,5,0.0673334143726101,-0.0005029993698228955,-5.186973383751736e-05,0.8759080179070641,-0.0065432769915986086,-0.0006747484317900281,0,0,0,1,0,ESTAVEL
15,2020-08-03,50,32,2778986.0,False,True,26645,958.80296,2020-08-02,0.0158,421,143,state,MS,0,0,0.07787711538290651,0.0009251295366860927,-0.00011383893613416237,1.6193874266721526,0.019237270568978015,-0.0023671824634873434,0,1,0,0,0,EXPONENCIAL
16,2020-08-03,28,32,2298696.0,True,False,60479,2631.01341,2020-08-03,0.0246,1489,143,state,SE,444,24,0.07345695200710671,0.00039072822517787647,-9.814971294560132e-05,1.405511112889476,0.007476118292438219,-0.0018779776250259941,0,0,0,0,1,LINEAR
17,2020-08-03,23,32,9132078.0,True,False,176972,1937.9159899999997,2020-08-03,0.0439,7761,141,state,CE,199,51,0.07059196105744563,-0.0001595226767632474,-6.708100062377325e-05,1.0333324074511343,-0.002335109397069643,-0.0009819386064708782,0,0,0,0,1,LINEAR
18,2020-08-03,12,32,881935.0,True,False,20339,2306.1790300000002,2020-08-03,0.0265,539,140,state,AC,373,2,0.07145309508028282,-4.867813470855829e-06,2.1801171810987458e-05,0.9987009503455321,-6.803749976101465e-05,0.0003047152958429022,0,0,0,1,0,ESTAVEL
19,2020-08-03,15,32,8602865.0,True,False,158277,1839.8173199999999,2020-08-03,0.0366,5799,139,state,PA,1772,15,0.0659745468309307,-0.0006039012946328031,-3.7442708863889874e-05,0.9788111486566415,-0.00895959651514636,-0.0005555072771594702,0,0,0,1,0,ESTAVEL
20,2020-08-03,17,32,1572866.0,False,True,26998,1716.48443,2020-08-02,0.0149,402,139,state,TO,0,0,0.08284577213245195,0.0013376420847258375,-5.423716535605112e-05,1.4826723826725579,0.02393948328169015,-0.0009706705015591456,0,1,0,0,0,EXPONENCIAL
21,2020-08-03,22,32,3273227.0,True,False,53224,1626.0406,2020-08-03,0.0263,1401,138,state,PI,0,16,0.07154098400327213,0.0001070495539082825,-0.00012859428069193288,1.4018909475306722,0.0020977038917210583,-0.00251988647511465,0,0,0,0,1,LINEAR
22,2020-08-03,16,32,845731.0,True,False,36804,4351.73832,2020-08-03,0.0157,576,137,state,AP,165,5,0.0632646583426814,-0.0010275536855144088,-2.3121807403473928e-05,0.8589715494026745,-0.01395153952400734,-0.00031393475046956917,0,0,1,0,0,DESACELERACAO
23,2020-08-03,21,32,7075181.0,True,False,122482,1731.1500600000002,2020-08-03,0.0251,3069,137,state,MA,529,19,0.0683987277749807,-0.0004210277475563362,-3.834759501356847e-05,0.9650239205769138,-0.005940195977842475,-0.0005410385205764889,0,0,0,1,0,ESTAVEL
24,2020-08-03,51,32,3484466.0,True,False,55156,1582.9111300000002,2020-08-03,0.0349,1927,137,state,MT,1716,25,0.0818983851569363,0.0013757780491166778,-2.925166548901232e-05,1.6725979196823502,0.02809730006870967,-0.0005974021923681634,0,1,0,0,0,EXPONENCIAL
25,2020-08-03,11,32,1777225.0,True,False,40016,2251.6001100000003,2020-08-03,0.0222,888,137,state,RO,123,4,0.07285981553682613,0.00023869878992967923,-9.256746553364508e-05,1.2900981504177536,0.004226539212682854,-0.0016390532311113888,0,0,0,0,1,LINEAR
26,2020-08-03,14,32,605761.0,False,True,33188,5478.72841,2020-08-02,0.0155,513,136,state,RR,0,0,0.0692834048731582,-0.00017416202961086948,-0.000114092087838509,1.3117507860698943,-0.0032974300218622074,-0.0021601188073899218,0,0,0,0,1,LINEAR
